Id;Label
vitry;Vitry
chassecoeur;Chassecœur
ausrufer_einer_bildergalerie;Ausrufer einer Bildergalerie
ausrufer_einer_menagerie;Ausrufer einer Menagerie
ein_polizeibeamter;Ein Polizeibeamter
geschrei;Geschrei
savoyardenknabe;Savoyardenknabe
ausrufer_bei_einem_guckkasten;Ausrufer bei einem Guckkasten
poebel;Pöbel
das_volk_1-1;Das Volk (I/1)
gensdarmes_1-1;Ein Gensd'armes (I/1)
ein_alter_offizier_in_ziviltracht;Ein alter Offizier in Ziviltracht
marquis_von_hauterive;Marquis von Hauterive
herr_von_villeneuve;Herr von Villeneuve
die_stuhlvermieterin;Die Stuhlvermieterin
zeitungsausrufer;Zeitungsausrufer
viele_stimmen_1-1a;Viele Stimmen (I/1)
eine_alte_putzhaendlerin;Eine alte Putzhändlerin
advokat_duchesne;Advokat Duchesne
viele_aus_dem_volk_1-1;Viele aus dem Volk (I/1)
herzog_von_orleans;Herzog von Orléans
viele_stimmen_1-1b;Viele Stimmen (I/1)
herzog_von_berry;Herzog von Berry
einer_aus_dem_gefolge_des_herzogs;Einer aus dem Gefolge des Herzogs
madame_de_serre;Madame de Serré
die_amme;Die Amme
ein_alter_marquis;Ein alter Marquis
schweizergardist;Schweizergardist
mehrere_stimmen_1-2;Mehrere Stimmen (I/2)
manche_der_anwesenden;Manche der Anwesenden
erster_buerger_1-2;Erster Bürger (I/2)
zweiter_buerger_1-2;Zweiter Bürger (I/2)
koenig_ludwig;König Ludwig
chorus_der_altadligen_emigranten_damen_und_herren;Chorus der altadligen Emigranten, Damen und Herren
ein_kleiner_ofenheizer;Ein kleiner Ofenheizer
mehrere;Mehrere
viele_stimmen_1-2;Viele Stimmen (I/2)
ein_hauptmann_der_schweizergarde;Ein Hauptmann der Schweizergarde
herzogin_von_angouleme;Herzogin von Angoulême
oberzeremonienmeister;Oberzeremonienmeister
herzog_von_angouleme;Herzog von Angoulême
graf_blacas_d_aulps;Graf Blacas d'Aulps
d_ambray;D'Ambray
napoleon;Napoleon
bertrand;Bertrand
der_polnische_legionsreiter;Der polnische Legionsreiter
der_offizier_1-4;Der Offizier (Graf St. P-le)
cambronne;Cambronne
der_alte_gaertner;Der alte Gärtner
die_nichte;Die Nichte
pierre;Pierre
die_damen_der_halle;Die Damen der Halle
eine_dame_der_halle_2-1;Eine andere Dame der Halle (II/1)
eine_andere_dame_der_halle_2-1;Eine andere Dame der Halle (II/1)
louise;Louise
volk_2-2;Volk (II/2)
graefin_von_choisy;Gräfin von Choisy
monsieur;Monsieur (Graf von Artois)
oberdirektor_des_telegraphen;Oberdirektor des Telegraphen
marschall_ney;Marschall Ney
kurier;Kurier
erster_buerger_2-5;Erster Bürger (II/5)
zweiter_buerger_2-5;Zweiter Bürger (II/5)
eine_linieninfanteriepatrouille;Eine Linieninfanterie-Patrouille
gensdarmes_2-5;Ein Gensd'armes (II/5)
fouche;Fouché
carnot;Carnot
gensdarmeriepatrouille_zu_fuss;Gensd'armerie-Patrouille zu Fuß
offizier_2-5;Offizier (II/5)
der_emigrant;Der Emigrant
schneidermeister;Schneidermeister
frau_des_schneidermeisters;Frau des Schneidermeisters
eine_dame_der_halle_3-1a;Eine Dame der Halle (III/1)
viele_aus_dem_volk_3-1;Viele aus dem Volk (III/1)
eine_dame_der_halle_3-1b;Eine Dame der Halle (III/1)
volk_3-1;Volk (III/1)
mehrere_stimmen_3-1a;Mehrere Stimmen (III/1)
ein_aeltliches_frauenzimmer;Ein ältliches Frauenzimmer
leute_verschiedenen_standes;Leute verschiedenen Standes
anderes_volk;Anderes Volk
der_nebenstehende;Der Nebenstehende
andere_umstehende;Andere Umstehende
noch_andere_a;Noch Andere
einer_aus_der_masse;Einer aus der Masse
ein_anderer_aus_der_masse;Ein Anderer aus der Masse
weiber;Weiber
maenner;Männer
ein_buerger_3-1a;Ein Bürger (III/1)
volk_im_vordergrunde;Volk im Vordergrunde
volk_im_mittelgrunde;Volk im Mittelgrunde
volk_im_hintergrunde;Volk im Hintergrunde
ein_nebenstehender;Ein Nebenstehender
vorstaedter_von_st_antoine;Vorstädter von St. Antoine
ein_buerger_3-1b;Ein Bürger (III/1)
andere;Andere
wieder_andere;Wieder Andere
noch_andere_b;Noch Andere
alle_3-1;Alle (III/1)
jouve;Jouve
viele_vorstaedter_a;Viele Vorstädter
vorstaedter_und_anderes_volk;Vorstädter und anderes Volk
ein_vorstaedter_3-1a;Ein Vorstädter (III/1)
viele_vorstaedter_b;Viele Vorstädter
goettin_der_vernunft;Göttin der Vernunft
ein_hauptmann_der_gensdarmes;Ein Hauptmann der Gensd'armes
ein_vorstaedter_3-1b;Ein Vorstädter (III/1)
einige;Einige
ein_ankommender;Ein Ankommender
ein_vorstaedter_3-1c;Ein Vorstädter (III/1)
mehrere_stimmen_3-1b;Mehrere Stimmen (III/1)
ein_kraemer;Ein Krämer
frau_des_kraemers;Frau des Krämers
alter_gardegrenadier;Alter Gardegrenadier
ein_anderer_alter_gardegrenadier;Ein anderer alter Gardegrenadier
erster_buerger_3-2;Erster Bürger (III/2)
ein_vorstaedter_3-2;Ein Vorstädter (III/2)
zweiter_buerger_3-2;Zweiter Bürger (III/2)
schildwache;Schildwache
offizier_der_gardegrenadiere_zu_fuss;Offizier der Gardegrenadiere zu Fuß
offizier_der_polnischen_lanzenreiter;Offizier der polnischen Lanzenreiter
volk_3-2;Volk (III/2)
hortense;Hortense
viele_des_volkes;Viele des Volkes
offizier_3-3a;Ein Offizier (III/3)
offizier_3-3b;Ein Offizier (III/3)
offizier_3-3c;Ein Offizier (III/3)
ein_kammerherr;Ein Kammerherr
offizier_3-3d;Ein Offizier (III/3)
eine_ordonnanz_a;Eine Ordonnanz
eine_andere_ordonnanz;Eine andere Ordonnanz
die_schreibenden;Die Schreibenden
eine_ordonnanz_b;Eine Ordonnanz
eine_ordonnanz_c;Eine Ordonnanz
ein_junge;Ein Junge
eine_dame;Eine Dame
volk_4-1;Volk (IV/1)
donnerndes_geschrei_der_truppen_und_des_volkes;Donnerndes Geschrei der Truppen und des Volkes
ordonnanzoffizier;Ordonnanz-Offizier
erster_piqueur;Erster Piqueur
dritter_piqueur;Dritter Piqueur
zweiter_piqueur;Zweiter Piqueur
oberstallmeister;Oberstallmeister
berliner_freiwilliger;Der Berliner Freiwillige
feldwebel;Der ostpreußische Feldwebel
schlesier;Schlesier
bluecher;Blücher
gneisenau;Gneisenau
ein_ziethenscher_husar;Ein ziethenscher Husar
zweiter_berliner_freiwilliger;Ein zweiter Berliner Freiwilliger
die_husaren;Die Husaren
major;Der Major
erster_jaeger;Erster Jäger
vierter_jaeger;Vierter Jäger
dritter_jaeger;Dritter Jäger
zweiter_jaeger;Zweiter Jäger
sechster_jaeger;Sechster Jäger
fuenfter_jaeger;Fünfter Jäger
marketenderin;Marketenderin
unteroffizier;Der Unteroffizier
bourmont;Bourmont
sergeant_4-6;Sergeant (IV/6)
ein_kapitaen_der_voltigeurs;Ein Kapitän der Voltigeurs
erster_offizier;Erster Offizier
zweiter_offizier;Zweiter Offizier
dritter_offizier;Dritter Offizier
ein_in_der_ferne_in_die_schlachtlinie_rueckendes_regiment;Ein in der Ferne in die Schlachtlinie rückendes Regiment
labedoyere;Labédoyère
ein_offizier_4-6a;Ein Offizier (IV/6)
drouot;Drouot
adjutanten_4-6a;Adjutanten
ein_fluegeladjutant;Ein Flügeladjutant
ein_fussgardist;Ein Fußgardist
